GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47
0400000US15,15,Hawaii,3423,2054,134,71,494,13,19,72,69,6,20,7,49,10,5,3,70,8,147,23,1,136,16,3,9,10,16,67,12,27,13,101,8,2,5,35,2,371,172,128,25,25,39,37,2,23,1046
0400000US16,16,Idaho,17320,13866,163,219,1146,84,47,409,249,174,29,40,57,44,72,0,104,9,352,11,4,578,33,22,102,26,62,73,48,29,394,499,14,42,105,16,1,8609,664,277,36,63,63,96,19,34,2479
0400000US17,17,Illinois,30447,15352,509,405,3903,67,67,1352,510,12,99,59,164,39,58,10,675,54,3942,86,253,403,40,84,21,32,220,156,17,80,25,849,33,10,6,43,10,1059,1565,190,28,40,80,34,8,29,13311
0400000US18,18,Indiana,15370,9683,300,371,3268,49,55,474,238,5,52,35,107,20,59,5,253,17,605,88,43,206,54,76,20,18,323,76,14,41,12,515,9,16,4,11,7,2237,888,106,32,26,30,15,3,12,4681
0400000US19,19,Iowa,8754,6036,121,106,786,45,16,354,106,2,29,17,65,20,10,5,74,41,277,18,31,79,19,11,12,14,47,34,9,11,11,1334,6,13,1,9,2,2301,409,87,11,16,35,18,7,6,2216
0400000US20,20,Kansas,24123,18383,412,195,5860,200,223,298,1004,9,190,23,603,47,335,3,398,246,575,40,31,617,318,61,42,20,2109,143,15,189,38,853,22,25,19,37,26,3157,772,169,29,33,56,48,3,29,4770
0400000US21,21,Kentucky,8378,5387,157,158,3095,34,42,164,183,0,36,9,85,22,59,5,120,9,212,70,11,107,21,26,7,10,26,45,3,27,6,227,9,6,7,10,10,369,399,72,16,15,23,17,1,9,2511
0400000US22,22,Louisiana,23788,15202,191,122,2814,27,125,153,1490,1,52,14,344,11,106,5844,105,34,360,35,8,111,63,22,14,7,56,76,4,46,16,180,8,7,2,12,6,2736,1489,90,28,20,19,21,2,9,6998
0400000US23,23,Maine,7015,5371,59,58,238,8,3,69,23,3,3,10,14,2,4,0,94,3,44,10,2,37,3,0,2,0,16,7,1,9,4,51,1,2,2,2,1,4586,283,39,3,12,16,6,2,9,1313
0400000US24,24,Maryland,15167,8802,171,319,2612,31,55,185,204,2,44,26,95,22,76,11,350,20,935,922,12,161,40,18,6,11,42,100,7,72,16,257,9,12,4,23,6,1926,1016,79,18,9,28,24,0,13,5257
0400000US25,25,Massachusetts,14745,7669,119,299,936,9,23,156,73,1,13,33,53,9,39,5,492,14,1126,29,6,138,12,5,10,17,22,85,13,35,19,200,7,12,1,9,5,3644,800,108,15,24,46,22,1,14,6154
0400000US26,26,Michigan,57176,41141,504,677,4926,69,90,21618,301,2,68,98,131,23,152,6,1530,23,1189,592,109,271,31,3951,16,42,2262,119,12,88,38,590,8,10,12,47,14,1522,2096,254,51,37,94,59,13,56,13629
0400000US27,27,Minnesota,54569,42132,139,135,643,59,24,32184,190,15,29,84,75,33,21,3,266,35,729,31,106,140,14,29,19,25,124,85,7,32,35,5278,9,9,15,17,17,1476,2233,239,46,36,94,56,7,26,9939
