,state,n_outbreaks,perc_vacc,white_alone,black_alone,AI_AN_alone,asian_alone,PI_alone,other_race_alone,mult_races,total_households,1_person_household,2_person_household,3_person_household,4_person_household,5_person_household,6_person_household,7_more_person_household,total_avg_size,owner_avg_size,renter_avg_size,avg_age,avg_age_male,avg_age_female
319,North Dakota_2011,52,90.8,605449.0,7960.0,36591.0,6909.0,320.0,3509.0,11853.0,281192.0,88563.0,102531.0,38513.0,30558.0,13982.0,4700.0,2345.0,2.3,2.48,1.96,37.0,35.5,38.7
320,South Dakota_2011,62,84.8,699392.0,10207.0,71817.0,7610.0,394.0,7477.0,17283.0,322282.0,94638.0,115675.0,44573.0,37271.0,18648.0,7013.0,4464.0,2.42,2.53,2.18,36.9,35.6,38.2
321,Nebraska_2011,25,94.1,1572838.0,82885.0,18427.0,32293.0,1279.0,79109.0,39510.0,721130.0,206807.0,251160.0,103607.0,87977.0,44352.0,17207.0,10020.0,2.46,2.58,2.21,36.2,35.0,37.5
322,Kansas_2011,394,89.6,2391044.0,167864.0,28150.0,67762.0,2238.0,110127.0,85933.0,1112096.0,309338.0,382396.0,166121.0,140905.0,70093.0,27289.0,15954.0,2.49,2.6,2.27,36.0,34.7,37.4
323,Delaware_2011,39,90.5,618617.0,191814.0,4181.0,28549.0,400.0,30519.0,23854.0,342297.0,87496.0,117500.0,56966.0,45778.0,20945.0,8164.0,5448.0,2.55,2.58,2.48,38.8,37.4,40.1
324,Virginia_2011,548,88.2,5486852.0,1551399.0,29225.0,439890.0,5980.0,254278.0,233400.0,3056058.0,795117.0,1024641.0,520503.0,420101.0,182216.0,69216.0,44264.0,2.54,2.6,2.41,37.5,36.1,38.7
325,West Virginia_2011,438,86.5,1739988.0,63124.0,3787.0,12406.0,428.0,6119.0,27142.0,763831.0,217308.0,278337.0,124879.0,89437.0,35982.0,11812.0,6076.0,2.36,2.43,2.18,41.3,40.1,42.6
326,South Carolina_2011,83,89.6,3060000.0,1290684.0,19524.0,59051.0,2706.0,113464.0,79935.0,1801181.0,477894.0,623419.0,304098.0,231903.0,103014.0,37833.0,23020.0,2.49,2.51,2.45,37.9,36.4,39.2
327,Florida_2011,977,90.0,14109162.0,2999862.0,71458.0,454821.0,12286.0,681144.0,472577.0,7420802.0,2021781.0,2643162.0,1152686.0,900377.0,419230.0,168395.0,115171.0,2.48,2.47,2.49,40.7,39.4,42.1
328,Alabama_2011,296,94.2,3275394.0,1251311.0,28218.0,53595.0,3057.0,96910.0,71251.0,1883791.0,516696.0,632291.0,322941.0,245326.0,106771.0,37510.0,22256.0,2.48,2.52,2.37,37.9,36.4,39.1
329,Mississippi_2011,12,90.6,1754684.0,1098385.0,15030.0,25742.0,1187.0,38162.0,34107.0,1115768.0,293807.0,356795.0,194682.0,150650.0,72933.0,27883.0,19018.0,2.58,2.6,2.53,36.0,34.5,37.5
330,Arkansas_2011,220,93.0,2245229.0,449895.0,22248.0,36102.0,5863.0,99571.0,57010.0,1147084.0,310792.0,402111.0,186450.0,142819.0,65311.0,24496.0,15105.0,2.47,2.51,2.4,37.4,36.1,38.7
331,Louisiana_2011,90,91.7,2836192.0,1452396.0,30579.0,70132.0,1963.0,69227.0,72883.0,1728360.0,464334.0,553276.0,301380.0,231047.0,110627.0,41476.0,26220.0,2.55,2.61,2.43,35.8,34.5,37.2
332,Texas_2011,2760,94.1,17701552.0,2979598.0,170972.0,964596.0,21656.0,2628186.0,679001.0,8922933.0,2163266.0,2703417.0,1482329.0,1312995.0,716376.0,310605.0,233945.0,2.75,2.87,2.54,33.6,32.6,34.6
333,Montana_2011,198,85.6,884961.0,4027.0,62555.0,6253.0,668.0,5975.0,24976.0,409607.0,121775.0,153975.0,57046.0,44407.0,20466.0,7563.0,4375.0,2.35,2.42,2.18,39.8,38.8,41.0
334,Wyoming_2011,21,86.8,511279.0,4748.0,13336.0,4426.0,427.0,17049.0,12361.0,226879.0,63480.0,83568.0,33043.0,26654.0,12444.0,4825.0,2865.0,2.42,2.5,2.26,36.8,36.0,37.7
335,Colorado_2011,404,88.6,4089202.0,201737.0,56010.0,139028.0,6623.0,364140.0,172456.0,1972868.0,550794.0,673027.0,301196.0,256692.0,115994.0,45650.0,29515.0,2.49,2.57,2.34,36.1,35.1,37.1
336,New Mexico_2011,95,90.3,1407876.0,42550.0,193222.0,28208.0,1810.0,308503.0,77010.0,791395.0,221347.0,260244.0,121352.0,98041.0,52997.0,21845.0,15569.0,2.55,2.6,2.43,36.7,35.3,38.0
337,Arizona_2011,0,87.9,4667121.0,259008.0,296529.0,176695.0,12648.0,761716.0,218300.0,2380990.0,621008.0,814955.0,344326.0,296655.0,164944.0,77095.0,62007.0,2.63,2.63,2.62,35.9,34.8,37.2
338,Utah_2011,334,83.6,2379560.0,29287.0,32927.0,55285.0,24554.0,166754.0,75518.0,877692.0,164018.0,256969.0,140050.0,132454.0,90201.0,54189.0,39811.0,3.1,3.21,2.82,29.2,28.7,29.7
339,California_2011,36,91.8,21453934.0,2299072.0,362801.0,4861007.0,144386.0,6317372.0,1815384.0,12577498.0,2929442.0,3653802.0,2043812.0,1883451.0,1040408.0,507471.0,519112.0,2.9,2.95,2.83,35.2,34.0,36.3
340,Alaska_2011,48,87.2,473576.0,23263.0,104871.0,38135.0,7409.0,11102.0,51875.0,258058.0,66073.0,83852.0,41891.0,34124.0,18122.0,7546.0,6450.0,2.65,2.76,2.47,33.8,33.6,34.1
341,Hawaii_2011,38,91.2,336599.0,21424.0,4164.0,525078.0,135422.0,16985.0,320629.0,455338.0,106175.0,139162.0,76348.0,60942.0,33338.0,17541.0,21832.0,2.89,3.02,2.72,38.6,37.2,39.9
342,Maine_2012,226,90.8,1264971.0,15707.0,8568.0,13571.0,342.0,4261.0,20941.0,557219.0,159533.0,213695.0,84340.0,64010.0,23840.0,7854.0,3947.0,2.32,2.43,2.04,42.7,41.5,43.8
343,New Hampshire_2012,158,93.3,1236050.0,15035.0,3150.0,28407.0,384.0,12062.0,21382.0,518973.0,133057.0,188923.0,85046.0,70835.0,27365.0,9286.0,4461.0,2.46,2.59,2.14,41.1,40.2,42.0
344,Vermont_2012,117,80.4,596292.0,6277.0,2207.0,7947.0,160.0,2105.0,10753.0,256442.0,72233.0,96889.0,39695.0,31210.0,11107.0,3480.0,1828.0,2.34,2.45,2.08,41.5,40.4,42.7
345,Massachusetts_2012,513,89.5,5265236.0,434398.0,18850.0,349768.0,2223.0,305151.0,172003.0,2547075.0,732263.0,813166.0,417216.0,353676.0,150842.0,51409.0,28503.0,2.48,2.66,2.18,39.1,37.7,40.3
346,Rhode Island_2012,42,93.5,856869.0,60189.0,6058.0,30457.0,554.0,63653.0,34787.0,413600.0,122488.0,133513.0,67339.0,54010.0,23314.0,8232.0,4704.0,2.44,2.59,2.21,39.4,37.8,40.8
347,Connecticut_2012,304,93.6,2772410.0,362296.0,11256.0,135565.0,1428.0,198466.0,92676.0,1371087.0,373648.0,443095.0,226658.0,197116.0,84916.0,29348.0,16306.0,2.52,2.64,2.27,40.0,38.5,41.3
348,New Jersey_2012,466,93.5,6029248.0,1204826.0,29026.0,725726.0,3043.0,559722.0,240303.0,3214360.0,811221.0,957682.0,558029.0,506107.0,231727.0,87444.0,62150.0,2.68,2.79,2.47,39.0,37.4,40.3
349,Pennsylvania_2012,1101,88.0,10406288.0,1377689.0,26843.0,349088.0,3653.0,300983.0,237835.0,5018904.0,1433415.0,1705503.0,804124.0,637442.0,276410.0,99988.0,62022.0,2.45,2.57,2.16,40.1,38.7,41.5
350,Ohio_2012,1047,90.8,9539437.0,1407681.0,25292.0,192233.0,4066.0,130030.0,237765.0,4603435.0,1328550.0,1568090.0,720134.0,575012.0,262007.0,95599.0,54043.0,2.44,2.54,2.24,38.8,37.4,40.0
351,Indiana_2012,293,87.2,5467906.0,591397.0,18462.0,102474.0,2348.0,173314.0,127901.0,2502154.0,671920.0,854193.0,398466.0,326993.0,155435.0,59151.0,35996.0,2.52,2.6,2.33,37.0,35.7,38.2
352,Illinois_2012,881,90.6,9177877.0,1866414.0,43963.0,586934.0,4050.0,861412.0,289982.0,4836972.0,1346312.0,1509908.0,756467.0,659731.0,330647.0,134192.0,99715.0,2.59,2.69,2.38,36.6,35.2,37.9
353,Michigan_2012,1036,91.4,7803120.0,1400362.0,62007.0,238199.0,2604.0,147029.0,230319.0,3872508.0,1079678.0,1307449.0,603482.0,504315.0,234074.0,88972.0,54538.0,2.49,2.57,2.29,38.9,37.6,40.0
354,Wisconsin_2012,422,88.5,4902067.0,359148.0,54526.0,129234.0,1827.0,135867.0,104317.0,2279768.0,642507.0,817250.0,339536.0,284532.0,124387.0,44504.0,27052.0,2.43,2.56,2.16,38.5,37.3,39.6
355,Minnesota_2012,1,89.1,4524062.0,274412.0,60916.0,214234.0,2156.0,103000.0,125145.0,2087227.0,584008.0,724386.0,307794.0,274621.0,123002.0,44258.0,29158.0,2.48,2.59,2.16,37.4,36.3,38.4
356,Missouri_2012,248,90.3,4958770.0,693391.0,27376.0,98083.0,6261.0,80457.0,124589.0,2375611.0,672276.0,822516.0,370462.0,296548.0,134977.0,49861.0,28971.0,2.45,2.54,2.25,37.9,36.5,39.2
357,North Dakota_2012,65,89.0,605449.0,7960.0,36591.0,6909.0,320.0,3509.0,11853.0,281192.0,88563.0,102531.0,38513.0,30558.0,13982.0,4700.0,2345.0,2.3,2.48,1.96,37.0,35.5,38.7
358,South Dakota_2012,67,92.6,699392.0,10207.0,71817.0,7610.0,394.0,7477.0,17283.0,322282.0,94638.0,115675.0,44573.0,37271.0,18648.0,7013.0,4464.0,2.42,2.53,2.18,36.9,35.6,38.2
359,Nebraska_2012,20,90.4,1572838.0,82885.0,18427.0,32293.0,1279.0,79109.0,39510.0,721130.0,206807.0,251160.0,103607.0,87977.0,44352.0,17207.0,10020.0,2.46,2.58,2.21,36.2,35.0,37.5
360,Kansas_2012,418,86.0,2391044.0,167864.0,28150.0,67762.0,2238.0,110127.0,85933.0,1112096.0,309338.0,382396.0,166121.0,140905.0,70093.0,27289.0,15954.0,2.49,2.6,2.27,36.0,34.7,37.4
361,Delaware_2012,11,94.6,618617.0,191814.0,4181.0,28549.0,400.0,30519.0,23854.0,342297.0,87496.0,117500.0,56966.0,45778.0,20945.0,8164.0,5448.0,2.55,2.58,2.48,38.8,37.4,40.1
362,Virginia_2012,549,92.3,5486852.0,1551399.0,29225.0,439890.0,5980.0,254278.0,233400.0,3056058.0,795117.0,1024641.0,520503.0,420101.0,182216.0,69216.0,44264.0,2.54,2.6,2.41,37.5,36.1,38.7
363,West Virginia_2012,426,84.0,1739988.0,63124.0,3787.0,12406.0,428.0,6119.0,27142.0,763831.0,217308.0,278337.0,124879.0,89437.0,35982.0,11812.0,6076.0,2.36,2.43,2.18,41.3,40.1,42.6
364,South Carolina_2012,13,95.5,3060000.0,1290684.0,19524.0,59051.0,2706.0,113464.0,79935.0,1801181.0,477894.0,623419.0,304098.0,231903.0,103014.0,37833.0,23020.0,2.49,2.51,2.45,37.9,36.4,39.2
365,Georgia_2012,33,92.7,5787440.0,2950435.0,32151.0,314467.0,6799.0,388872.0,207489.0,3585584.0,909474.0,1130138.0,620894.0,515518.0,244075.0,98120.0,67365.0,2.63,2.67,2.56,35.3,34.1,36.5
366,Florida_2012,861,93.9,14109162.0,2999862.0,71458.0,454821.0,12286.0,681144.0,472577.0,7420802.0,2021781.0,2643162.0,1152686.0,900377.0,419230.0,168395.0,115171.0,2.48,2.47,2.49,40.7,39.4,42.1
367,Alabama_2012,279,93.6,3275394.0,1251311.0,28218.0,53595.0,3057.0,96910.0,71251.0,1883791.0,516696.0,632291.0,322941.0,245326.0,106771.0,37510.0,22256.0,2.48,2.52,2.37,37.9,36.4,39.1
368,Mississippi_2012,15,93.7,1754684.0,1098385.0,15030.0,25742.0,1187.0,38162.0,34107.0,1115768.0,293807.0,356795.0,194682.0,150650.0,72933.0,27883.0,19018.0,2.58,2.6,2.53,36.0,34.5,37.5
369,Arkansas_2012,347,93.1,2245229.0,449895.0,22248.0,36102.0,5863.0,99571.0,57010.0,1147084.0,310792.0,402111.0,186450.0,142819.0,65311.0,24496.0,15105.0,2.47,2.51,2.4,37.4,36.1,38.7
370,Louisiana_2012,100,90.8,2836192.0,1452396.0,30579.0,70132.0,1963.0,69227.0,72883.0,1728360.0,464334.0,553276.0,301380.0,231047.0,110627.0,41476.0,26220.0,2.55,2.61,2.43,35.8,34.5,37.2
371,Texas_2012,2558,89.4,17701552.0,2979598.0,170972.0,964596.0,21656.0,2628186.0,679001.0,8922933.0,2163266.0,2703417.0,1482329.0,1312995.0,716376.0,310605.0,233945.0,2.75,2.87,2.54,33.6,32.6,34.6
372,Montana_2012,163,85.3,884961.0,4027.0,62555.0,6253.0,668.0,5975.0,24976.0,409607.0,121775.0,153975.0,57046.0,44407.0,20466.0,7563.0,4375.0,2.35,2.42,2.18,39.8,38.8,41.0
373,Wyoming_2012,13,88.0,511279.0,4748.0,13336.0,4426.0,427.0,17049.0,12361.0,226879.0,63480.0,83568.0,33043.0,26654.0,12444.0,4825.0,2865.0,2.42,2.5,2.26,36.8,36.0,37.7
374,Colorado_2012,447,89.6,4089202.0,201737.0,56010.0,139028.0,6623.0,364140.0,172456.0,1972868.0,550794.0,673027.0,301196.0,256692.0,115994.0,45650.0,29515.0,2.49,2.57,2.34,36.1,35.1,37.1
375,New Mexico_2012,65,87.6,1407876.0,42550.0,193222.0,28208.0,1810.0,308503.0,77010.0,791395.0,221347.0,260244.0,121352.0,98041.0,52997.0,21845.0,15569.0,2.55,2.6,2.43,36.7,35.3,38.0
376,Arizona_2012,660,86.4,4667121.0,259008.0,296529.0,176695.0,12648.0,761716.0,218300.0,2380990.0,621008.0,814955.0,344326.0,296655.0,164944.0,77095.0,62007.0,2.63,2.63,2.62,35.9,34.8,37.2
377,Utah_2012,389,86.9,2379560.0,29287.0,32927.0,55285.0,24554.0,166754.0,75518.0,877692.0,164018.0,256969.0,140050.0,132454.0,90201.0,54189.0,39811.0,3.1,3.21,2.82,29.2,28.7,29.7
378,California_2012,39,90.8,21453934.0,2299072.0,362801.0,4861007.0,144386.0,6317372.0,1815384.0,12577498.0,2929442.0,3653802.0,2043812.0,1883451.0,1040408.0,507471.0,519112.0,2.9,2.95,2.83,35.2,34.0,36.3
379,Alaska_2012,64,84.6,473576.0,23263.0,104871.0,38135.0,7409.0,11102.0,51875.0,258058.0,66073.0,83852.0,41891.0,34124.0,18122.0,7546.0,6450.0,2.65,2.76,2.47,33.8,33.6,34.1
380,Hawaii_2012,44,94.9,336599.0,21424.0,4164.0,525078.0,135422.0,16985.0,320629.0,455338.0,106175.0,139162.0,76348.0,60942.0,33338.0,17541.0,21832.0,2.89,3.02,2.72,38.6,37.2,39.9
381,Maine_2013,258,90.5,1264971.0,15707.0,8568.0,13571.0,342.0,4261.0,20941.0,557219.0,159533.0,213695.0,84340.0,64010.0,23840.0,7854.0,3947.0,2.32,2.43,2.04,42.7,41.5,43.8
382,New Hampshire_2013,142,93.0,1236050.0,15035.0,3150.0,28407.0,384.0,12062.0,21382.0,518973.0,133057.0,188923.0,85046.0,70835.0,27365.0,9286.0,4461.0,2.46,2.59,2.14,41.1,40.2,42.0
383,Vermont_2013,145,85.8,596292.0,6277.0,2207.0,7947.0,160.0,2105.0,10753.0,256442.0,72233.0,96889.0,39695.0,31210.0,11107.0,3480.0,1828.0,2.34,2.45,2.08,41.5,40.4,42.7
384,Massachusetts_2013,534,94.7,5265236.0,434398.0,18850.0,349768.0,2223.0,305151.0,172003.0,2547075.0,732263.0,813166.0,417216.0,353676.0,150842.0,51409.0,28503.0,2.48,2.66,2.18,39.1,37.7,40.3
385,Rhode Island_2013,80,97.3,856869.0,60189.0,6058.0,30457.0,554.0,63653.0,34787.0,413600.0,122488.0,133513.0,67339.0,54010.0,23314.0,8232.0,4704.0,2.44,2.59,2.21,39.4,37.8,40.8
386,Connecticut_2013,265,90.8,2772410.0,362296.0,11256.0,135565.0,1428.0,198466.0,92676.0,1371087.0,373648.0,443095.0,226658.0,197116.0,84916.0,29348.0,16306.0,2.52,2.64,2.27,40.0,38.5,41.3
387,New Jersey_2013,466,91.9,6029248.0,1204826.0,29026.0,725726.0,3043.0,559722.0,240303.0,3214360.0,811221.0,957682.0,558029.0,506107.0,231727.0,87444.0,62150.0,2.68,2.79,2.47,39.0,37.4,40.3
388,Pennsylvania_2013,861,93.1,10406288.0,1377689.0,26843.0,349088.0,3653.0,300983.0,237835.0,5018904.0,1433415.0,1705503.0,804124.0,637442.0,276410.0,99988.0,62022.0,2.45,2.57,2.16,40.1,38.7,41.5
389,Ohio_2013,806,85.3,9539437.0,1407681.0,25292.0,192233.0,4066.0,130030.0,237765.0,4603435.0,1328550.0,1568090.0,720134.0,575012.0,262007.0,95599.0,54043.0,2.44,2.54,2.24,38.8,37.4,40.0
390,Indiana_2013,469,90.7,5467906.0,591397.0,18462.0,102474.0,2348.0,173314.0,127901.0,2502154.0,671920.0,854193.0,398466.0,326993.0,155435.0,59151.0,35996.0,2.52,2.6,2.33,37.0,35.7,38.2
391,Illinois_2013,898,88.6,9177877.0,1866414.0,43963.0,586934.0,4050.0,861412.0,289982.0,4836972.0,1346312.0,1509908.0,756467.0,659731.0,330647.0,134192.0,99715.0,2.59,2.69,2.38,36.6,35.2,37.9
392,Michigan_2013,971,87.5,7803120.0,1400362.0,62007.0,238199.0,2604.0,147029.0,230319.0,3872508.0,1079678.0,1307449.0,603482.0,504315.0,234074.0,88972.0,54538.0,2.49,2.57,2.29,38.9,37.6,40.0
393,Wisconsin_2013,439,91.9,4902067.0,359148.0,54526.0,129234.0,1827.0,135867.0,104317.0,2279768.0,642507.0,817250.0,339536.0,284532.0,124387.0,44504.0,27052.0,2.43,2.56,2.16,38.5,37.3,39.6
394,Minnesota_2013,0,89.2,4524062.0,274412.0,60916.0,214234.0,2156.0,103000.0,125145.0,2087227.0,584008.0,724386.0,307794.0,274621.0,123002.0,44258.0,29158.0,2.48,2.59,2.16,37.4,36.3,38.4
395,Missouri_2013,388,88.7,4958770.0,693391.0,27376.0,98083.0,6261.0,80457.0,124589.0,2375611.0,672276.0,822516.0,370462.0,296548.0,134977.0,49861.0,28971.0,2.45,2.54,2.25,37.9,36.5,39.2
396,North Dakota_2013,39,89.8,605449.0,7960.0,36591.0,6909.0,320.0,3509.0,11853.0,281192.0,88563.0,102531.0,38513.0,30558.0,13982.0,4700.0,2345.0,2.3,2.48,1.96,37.0,35.5,38.7
397,South Dakota_2013,32,92.5,699392.0,10207.0,71817.0,7610.0,394.0,7477.0,17283.0,322282.0,94638.0,115675.0,44573.0,37271.0,18648.0,7013.0,4464.0,2.42,2.53,2.18,36.9,35.6,38.2
398,Nebraska_2013,27,92.2,1572838.0,82885.0,18427.0,32293.0,1279.0,79109.0,39510.0,721130.0,206807.0,251160.0,103607.0,87977.0,44352.0,17207.0,10020.0,2.46,2.58,2.21,36.2,35.0,37.5
399,Kansas_2013,395,89.7,2391044.0,167864.0,28150.0,67762.0,2238.0,110127.0,85933.0,1112096.0,309338.0,382396.0,166121.0,140905.0,70093.0,27289.0,15954.0,2.49,2.6,2.27,36.0,34.7,37.4
400,Delaware_2013,3,92.3,618617.0,191814.0,4181.0,28549.0,400.0,30519.0,23854.0,342297.0,87496.0,117500.0,56966.0,45778.0,20945.0,8164.0,5448.0,2.55,2.58,2.48,38.8,37.4,40.1
401,Virginia_2013,505,91.1,5486852.0,1551399.0,29225.0,439890.0,5980.0,254278.0,233400.0,3056058.0,795117.0,1024641.0,520503.0,420101.0,182216.0,69216.0,44264.0,2.54,2.6,2.41,37.5,36.1,38.7
402,West Virginia_2013,206,86.1,1739988.0,63124.0,3787.0,12406.0,428.0,6119.0,27142.0,763831.0,217308.0,278337.0,124879.0,89437.0,35982.0,11812.0,6076.0,2.36,2.43,2.18,41.3,40.1,42.6
403,South Carolina_2013,11,89.1,3060000.0,1290684.0,19524.0,59051.0,2706.0,113464.0,79935.0,1801181.0,477894.0,623419.0,304098.0,231903.0,103014.0,37833.0,23020.0,2.49,2.51,2.45,37.9,36.4,39.2
404,Georgia_2013,51,95.0,5787440.0,2950435.0,32151.0,314467.0,6799.0,388872.0,207489.0,3585584.0,909474.0,1130138.0,620894.0,515518.0,244075.0,98120.0,67365.0,2.63,2.67,2.56,35.3,34.1,36.5
405,Florida_2013,816,92.8,14109162.0,2999862.0,71458.0,454821.0,12286.0,681144.0,472577.0,7420802.0,2021781.0,2643162.0,1152686.0,900377.0,419230.0,168395.0,115171.0,2.48,2.47,2.49,40.7,39.4,42.1
