GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054
0400000US12,12,Florida,70196,40166,725,30,778,331,1440,8943,103,330,1470,1200,10,169,121,3682,77,279,25,123,1425,83,997,61,6089,519,135,141,50,22,333,187,47,2865,70,1000,2278,886,28,34,15,75,26,2964,3737,570,132,83,151,153,12,39,61,25662
0400000US13,13,Georgia,31682,14947,297,9,280,63,331,5241,42,128,416,476,6,66,18,974,18,57,32,78,310,22,491,36,2559,295,61,37,12,16,121,77,16,108,11,374,316,210,34,27,13,24,8,1237,1805,217,52,44,63,32,13,13,36,14677
0400000US15,15,Hawaii,4058,2328,156,9,90,31,16,476,11,31,77,103,3,17,15,33,3,15,3,0,56,10,29,8,152,220,17,3,15,13,19,81,14,18,7,105,47,20,8,3,8,39,7,340,228,173,29,43,22,42,0,37,18,1311
0400000US16,16,Idaho,20998,15608,231,97,222,65,9,1174,91,85,444,311,204,36,34,74,50,98,23,0,88,15,30,12,586,780,47,34,123,31,92,52,123,30,568,506,55,30,38,63,127,38,16,8876,1023,398,82,64,68,141,22,21,72,3897
0400000US17,17,Illinois,43376,18047,536,30,361,103,211,3462,59,88,1352,530,7,88,59,189,34,70,41,19,569,57,106,205,5153,506,69,124,30,46,294,124,32,58,26,829,559,357,36,18,8,100,20,1482,2156,265,44,53,89,49,4,26,24,22884
0400000US18,18,Indiana,18017,10584,277,20,375,101,87,3036,43,83,618,323,11,64,38,186,36,77,20,29,255,24,101,40,938,230,39,82,18,12,368,62,13,27,26,508,99,91,11,33,5,22,8,2148,798,172,23,40,42,43,3,21,16,6447
0400000US19,19,Iowa,10831,7192,105,17,109,24,39,768,41,47,367,120,2,40,17,59,20,10,13,3,79,37,27,24,486,112,19,13,14,19,75,15,11,22,8,1417,44,38,7,5,4,17,0,2898,384,99,18,21,26,22,4,8,15,3141
0400000US20,20,Kansas,27464,20188,466,105,193,35,32,5642,157,312,360,1156,8,212,18,766,77,336,33,6,413,233,69,41,774,731,407,63,39,39,2511,109,20,172,32,898,65,45,27,39,26,43,21,3457,655,183,26,57,43,41,5,11,20,6418
0400000US21,21,Kentucky,9875,5799,154,5,155,42,36,2783,29,52,224,181,3,30,20,90,16,25,12,5,153,17,94,4,462,133,28,39,12,13,59,43,9,44,11,257,45,26,8,12,2,16,4,446,608,111,26,21,31,16,10,7,22,3335
0400000US22,22,Louisiana,30199,18655,158,11,124,75,135,2712,17,155,144,1644,2,61,11,323,10,27,3,6846,94,21,71,7,402,139,41,35,17,8,78,36,3,48,21,223,40,69,4,3,4,8,6,4819,1741,90,39,16,15,17,0,3,16,9697
0400000US23,23,Maine,8409,6419,38,2,56,139,14,246,4,15,81,28,1,8,17,18,7,15,9,1,84,5,19,0,77,53,6,3,7,1,15,9,2,12,2,86,34,7,3,2,3,2,0,5288,308,72,7,22,28,6,2,7,7,1603
0400000US24,24,Maryland,20137,9663,146,11,268,40,410,2198,33,50,228,176,2,50,19,108,29,66,13,9,246,17,1100,19,943,251,33,33,11,8,55,82,10,71,8,241,541,211,13,19,2,41,3,1849,1078,146,23,27,49,29,8,10,27,9223
0400000US25,25,Massachusetts,18567,9047,78,1,246,162,621,787,11,33,201,91,1,24,27,50,6,21,17,15,413,11,47,9,1100,158,19,4,5,17,48,89,9,31,18,171,799,290,11,7,2,12,4,3381,1020,101,16,16,28,27,3,11,35,8364
0400000US26,26,Michigan,60751,43013,379,28,496,683,137,3396,39,92,23564,366,7,94,82,238,18,127,21,9,1260,15,629,103,1402,292,30,4297,10,18,2881,78,32,58,29,614,141,93,13,17,6,61,5,1153,2572,281,64,54,50,67,10,36,18,14867
0400000US27,27,Minnesota,60573,44036,133,18,123,220,79,528,62,32,33165,167,13,45,68,58,59,35,15,8,238,28,33,111,936,225,23,48,18,17,163,47,17,24,25,5418,179,120,19,23,16,21,27,1432,2797,246,46,61,65,29,6,39,24,13470
0400000US28,28,Mississippi,14802,10517,107,1,53,26,38,947,13,100,87,7539,5,20,6,171,9,11,1,270,41,5,37,2,308,87,18,11,7,6,49,15,25,57,6,131,16,18,3,2,3,15,6,245,651,63,22,17,11,8,0,5,4,3567
0400000US29,29,Missouri,26586,18212,392,47,375,37,48,8081,84,345,493,1141,15,120,33,463,43,191,33,12,700,66,105,25,731,344,246,154,18,26,401,101,23,116,53,825,97,68,18,40,8,29,22,2043,1123,259,56,57,50,69,2,25,34,6958
